sku,profile_key,category_code,weight_grams,name,price,stock_quantity,roast_level,description,image_url,status,display_order
CP-SO004-M-500,SO004_M,SINGLE_ORIGIN,500,ET Limu WASHED 미디엄 500g,41500,34,MEDIUM,Limu 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so004_m.webp,ON_SALE,2
CP-SO005-L-200,SO005_L,SINGLE_ORIGIN,200,KE Nyeri WASHED 라이트 200g,23000,0,LIGHT,Nyeri 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so005_l.webp,SOLD_OUT,1
CP-SO005-L-500,SO005_L,SINGLE_ORIGIN,500,KE Nyeri WASHED 라이트 500g,52000,36,LIGHT,Nyeri 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so005_l.webp,ON_SALE,2
CP-SO005-M-200,SO005_M,SINGLE_ORIGIN,200,KE Nyeri WASHED 미디엄 200g,22000,37,MEDIUM,Nyeri 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so005_m.webp,ON_SALE,1
CP-SO005-M-500,SO005_M,SINGLE_ORIGIN,500,KE Nyeri WASHED 미디엄 500g,49500,38,MEDIUM,Nyeri 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so005_m.webp,ON_SALE,2
CP-SO006-L-200,SO006_L,SINGLE_ORIGIN,200,KE Kirinyaga WASHED 라이트 200g,22500,39,LIGHT,Kirinyaga 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so006_l.webp,ON_SALE,1
CP-SO006-L-500,SO006_L,SINGLE_ORIGIN,500,KE Kirinyaga WASHED 라이트 500g,50500,40,LIGHT,Kirinyaga 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so006_l.webp,ON_SALE,2
CP-SO006-M-200,SO006_M,SINGLE_ORIGIN,200,KE Kirinyaga WASHED 미디엄 200g,21500,41,MEDIUM,Kirinyaga 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so006_m.webp,ON_SALE,1
CP-SO006-M-500,SO006_M,SINGLE_ORIGIN,500,KE Kirinyaga WASHED 미디엄 500g,48500,42,MEDIUM,Kirinyaga 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so006_m.webp,ON_SALE,2
CP-SO007-L-200,SO007_L,SINGLE_ORIGIN,200,KE Embu WASHED 라이트 200g,21500,43,LIGHT,Embu 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so007_l.webp,ON_SALE,1
CP-SO007-L-500,SO007_L,SINGLE_ORIGIN,500,KE Embu WASHED 라이트 500g,48500,44,LIGHT,Embu 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so007_l.webp,ON_SALE,2
CP-SO007-M-200,SO007_M,SINGLE_ORIGIN,200,KE Embu WASHED 미디엄 200g,20500,45,MEDIUM,Embu 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so007_m.webp,ON_SALE,1
CP-SO007-M-500,SO007_M,SINGLE_ORIGIN,500,KE Embu WASHED 미디엄 500g,46000,46,MEDIUM,Embu 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so007_m.webp,ON_SALE,2
CP-SO008-L-200,SO008_L,SINGLE_ORIGIN,200,RW Nyamasheke WASHED 라이트 200g,20000,47,LIGHT,Nyamasheke 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so008_l.webp,HIDDEN,1
CP-SO008-L-500,SO008_L,SINGLE_ORIGIN,500,RW Nyamasheke WASHED 라이트 500g,45000,48,LIGHT,Nyamasheke 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so008_l.webp,ON_SALE,2
CP-SO008-M-200,SO008_M,SINGLE_ORIGIN,200,RW Nyamasheke WASHED 미디엄 200g,19000,49,MEDIUM,Nyamasheke 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so008_m.webp,ON_SALE,1
CP-SO008-M-500,SO008_M,SINGLE_ORIGIN,500,RW Nyamasheke WASHED 미디엄 500g,43000,50,MEDIUM,Nyamasheke 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so008_m.webp,ON_SALE,2
CP-SO009-L-200,SO009_L,SINGLE_ORIGIN,200,RW Huye NATURAL 라이트 200g,20500,51,LIGHT,Huye 산지의 NATURAL 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so009_l.webp,ON_SALE,1
CP-SO009-L-500,SO009_L,SINGLE_ORIGIN,500,RW Huye NATURAL 라이트 500g,46000,0,LIGHT,Huye 산지의 NATURAL 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so009_l.webp,SOLD_OUT,2
CP-SO009-M-200,SO009_M,SINGLE_ORIGIN,200,RW Huye NATURAL 미디엄 200g,19500,53,MEDIUM,Huye 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so009_m.webp,ON_SALE,1
CP-SO009-M-500,SO009_M,SINGLE_ORIGIN,500,RW Huye NATURAL 미디엄 500g,44000,54,MEDIUM,Huye 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so009_m.webp,ON_SALE,2
CP-SO010-L-200,SO010_L,SINGLE_ORIGIN,200,BI Kayanza WASHED 라이트 200g,20000,55,LIGHT,Kayanza 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so010_l.webp,ON_SALE,1
CP-SO010-L-500,SO010_L,SINGLE_ORIGIN,500,BI Kayanza WASHED 라이트 500g,45000,56,LIGHT,Kayanza 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so010_l.webp,ON_SALE,2
CP-SO010-M-200,SO010_M,SINGLE_ORIGIN,200,BI Kayanza WASHED 미디엄 200g,19000,57,MEDIUM,Kayanza 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so010_m.webp,ON_SALE,1
CP-SO010-M-500,SO010_M,SINGLE_ORIGIN,500,BI Kayanza WASHED 미디엄 500g,43000,58,MEDIUM,Kayanza 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so010_m.webp,ON_SALE,2
CP-SO011-M-200,SO011_M,SINGLE_ORIGIN,200,UG Bugisu WASHED 미디엄 200g,17500,59,MEDIUM,Bugisu 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so011_m.webp,ON_SALE,1
CP-SO011-M-500,SO011_M,SINGLE_ORIGIN,500,UG Bugisu WASHED 미디엄 500g,39500,60,MEDIUM,Bugisu 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so011_m.webp,ON_SALE,2
CP-SO011-D-200,SO011_D,SINGLE_ORIGIN,200,UG Bugisu WASHED 다크 200g,18000,61,DARK,Bugisu 산지의 WASHED 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so011_d.webp,ON_SALE,1
CP-SO011-D-500,SO011_D,SINGLE_ORIGIN,500,UG Bugisu WASHED 다크 500g,40500,62,DARK,Bugisu 산지의 WASHED 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so011_d.webp,ON_SALE,2
CP-SO012-M-200,SO012_M,SINGLE_ORIGIN,200,UG Rwenzori NATURAL 미디엄 200g,18000,63,MEDIUM,Rwenzori 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so012_m.webp,ON_SALE,1
CP-SO012-M-500,SO012_M,SINGLE_ORIGIN,500,UG Rwenzori NATURAL 미디엄 500g,40500,64,MEDIUM,Rwenzori 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so012_m.webp,ON_SALE,2
CP-SO012-D-200,SO012_D,SINGLE_ORIGIN,200,UG Rwenzori NATURAL 다크 200g,18500,65,DARK,Rwenzori 산지의 NATURAL 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so012_d.webp,ON_SALE,1
CP-SO012-D-500,SO012_D,SINGLE_ORIGIN,500,UG Rwenzori NATURAL 다크 500g,41500,66,DARK,Rwenzori 산지의 NATURAL 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so012_d.webp,ON_SALE,2
CP-SO013-L-200,SO013_L,SINGLE_ORIGIN,200,CO Huila HONEY 라이트 200g,19000,67,LIGHT,Huila 산지의 HONEY 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so013_l.webp,ON_SALE,1
CP-SO013-L-500,SO013_L,SINGLE_ORIGIN,500,CO Huila HONEY 라이트 500g,43000,68,LIGHT,Huila 산지의 HONEY 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so013_l.webp,ON_SALE,2
CP-SO013-M-200,SO013_M,SINGLE_ORIGIN,200,CO Huila HONEY 미디엄 200g,18000,0,MEDIUM,Huila 산지의 HONEY 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so013_m.webp,SOLD_OUT,1
CP-SO013-M-500,SO013_M,SINGLE_ORIGIN,500,CO Huila HONEY 미디엄 500g,40500,70,MEDIUM,Huila 산지의 HONEY 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so013_m.webp,ON_SALE,2
CP-SO014-L-200,SO014_L,SINGLE_ORIGIN,200,CO Narino WASHED 라이트 200g,20500,71,LIGHT,Narino 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so014_l.webp,ON_SALE,1
CP-SO014-L-500,SO014_L,SINGLE_ORIGIN,500,CO Narino WASHED 라이트 500g,46000,72,LIGHT,Narino 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so014_l.webp,ON_SALE,2
CP-SO014-M-200,SO014_M,SINGLE_ORIGIN,200,CO Narino WASHED 미디엄 200g,19500,73,MEDIUM,Narino 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so014_m.webp,ON_SALE,1
CP-SO014-M-500,SO014_M,SINGLE_ORIGIN,500,CO Narino WASHED 미디엄 500g,44000,74,MEDIUM,Narino 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so014_m.webp,ON_SALE,2
CP-SO015-L-200,SO015_L,SINGLE_ORIGIN,200,CO Cauca WASHED 라이트 200g,19500,75,LIGHT,Cauca 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so015_l.webp,ON_SALE,1
CP-SO015-L-500,SO015_L,SINGLE_ORIGIN,500,CO Cauca WASHED 라이트 500g,44000,76,LIGHT,Cauca 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so015_l.webp,HIDDEN,2
CP-SO015-M-200,SO015_M,SINGLE_ORIGIN,200,CO Cauca WASHED 미디엄 200g,18500,77,MEDIUM,Cauca 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so015_m.webp,ON_SALE,1
CP-SO015-M-500,SO015_M,SINGLE_ORIGIN,500,CO Cauca WASHED 미디엄 500g,41500,78,MEDIUM,Cauca 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so015_m.webp,ON_SALE,2
CP-SO016-L-200,SO016_L,SINGLE_ORIGIN,200,CO Sierra Nevada NATURAL 라이트 200g,18500,79,LIGHT,Sierra Nevada 산지의 NATURAL 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so016_l.webp,ON_SALE,1
CP-SO016-L-500,SO016_L,SINGLE_ORIGIN,500,CO Sierra Nevada NATURAL 라이트 500g,41500,80,LIGHT,Sierra Nevada 산지의 NATURAL 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so016_l.webp,ON_SALE,2
CP-SO016-M-200,SO016_M,SINGLE_ORIGIN,200,CO Sierra Nevada NATURAL 미디엄 200g,17500,81,MEDIUM,Sierra Nevada 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so016_m.webp,ON_SALE,1
CP-SO016-M-500,SO016_M,SINGLE_ORIGIN,500,CO Sierra Nevada NATURAL 미디엄 500g,39500,82,MEDIUM,Sierra Nevada 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so016_m.webp,ON_SALE,2
CP-SO017-M-200,SO017_M,SINGLE_ORIGIN,200,BR Cerrado NATURAL 미디엄 200g,15000,83,MEDIUM,Cerrado 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so017_m.webp,ON_SALE,1
CP-SO017-M-500,SO017_M,SINGLE_ORIGIN,500,BR Cerrado NATURAL 미디엄 500g,34000,84,MEDIUM,Cerrado 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so017_m.webp,ON_SALE,2
CP-SO017-D-200,SO017_D,SINGLE_ORIGIN,200,BR Cerrado NATURAL 다크 200g,15500,85,DARK,Cerrado 산지의 NATURAL 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so017_d.webp,ON_SALE,1
CP-SO017-D-500,SO017_D,SINGLE_ORIGIN,500,BR Cerrado NATURAL 다크 500g,35000,0,DARK,Cerrado 산지의 NATURAL 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so017_d.webp,SOLD_OUT,2
CP-SO018-M-200,SO018_M,SINGLE_ORIGIN,200,BR Sul de Minas PULPED_NATURAL 미디엄 200g,16000,87,MEDIUM,Sul de Minas 산지의 PULPED_NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so018_m.webp,ON_SALE,1
CP-SO018-M-500,SO018_M,SINGLE_ORIGIN,500,BR Sul de Minas PULPED_NATURAL 미디엄 500g,36000,88,MEDIUM,Sul de Minas 산지의 PULPED_NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so018_m.webp,ON_SALE,2
CP-SO018-D-200,SO018_D,SINGLE_ORIGIN,200,BR Sul de Minas PULPED_NATURAL 다크 200g,16500,89,DARK,Sul de Minas 산지의 PULPED_NATURAL 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so018_d.webp,ON_SALE,1
CP-SO018-D-500,SO018_D,SINGLE_ORIGIN,500,BR Sul de Minas PULPED_NATURAL 다크 500g,37000,90,DARK,Sul de Minas 산지의 PULPED_NATURAL 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so018_d.webp,ON_SALE,2
CP-SO019-M-200,SO019_M,SINGLE_ORIGIN,200,BR Mantiqueira NATURAL 미디엄 200g,17500,91,MEDIUM,Mantiqueira 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so019_m.webp,ON_SALE,1
CP-SO019-M-500,SO019_M,SINGLE_ORIGIN,500,BR Mantiqueira NATURAL 미디엄 500g,39500,92,MEDIUM,Mantiqueira 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so019_m.webp,ON_SALE,2
CP-SO019-D-200,SO019_D,SINGLE_ORIGIN,200,BR Mantiqueira NATURAL 다크 200g,18000,93,DARK,Mantiqueira 산지의 NATURAL 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so019_d.webp,ON_SALE,1
CP-SO019-D-500,SO019_D,SINGLE_ORIGIN,500,BR Mantiqueira NATURAL 다크 500g,40500,94,DARK,Mantiqueira 산지의 NATURAL 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so019_d.webp,ON_SALE,2
CP-SO020-M-200,SO020_M,SINGLE_ORIGIN,200,BR Mogiana HONEY 미디엄 200g,15500,95,MEDIUM,Mogiana 산지의 HONEY 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so020_m.webp,ON_SALE,1
CP-SO020-M-500,SO020_M,SINGLE_ORIGIN,500,BR Mogiana HONEY 미디엄 500g,35000,96,MEDIUM,Mogiana 산지의 HONEY 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so020_m.webp,ON_SALE,2
CP-SO020-D-200,SO020_D,SINGLE_ORIGIN,200,BR Mogiana HONEY 다크 200g,16000,97,DARK,Mogiana 산지의 HONEY 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so020_d.webp,ON_SALE,1
CP-SO020-D-500,SO020_D,SINGLE_ORIGIN,500,BR Mogiana HONEY 다크 500g,36000,98,DARK,Mogiana 산지의 HONEY 커피를 다크 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so020_d.webp,ON_SALE,2
