profile_key,brew_method_code,display_order,recommendation_note
SO019_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO019_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO019_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO019_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
SO020_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO020_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO020_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO020_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
SO021_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO021_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO021_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO021_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO022_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO022_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO022_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO022_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO023_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO023_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO023_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO023_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO024_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO024_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO024_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO024_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO025_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO025_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO025_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO025_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO026_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO026_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO026_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO026_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO027_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO027_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO027_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO027_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO028_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO028_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO028_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO028_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO029_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO029_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO029_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO029_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO030_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO030_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO030_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO030_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO031_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO031_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO031_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO031_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO032_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO032_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO032_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO032_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO033_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO033_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO033_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO033_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
SO034_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO034_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO034_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO034_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
SO035_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO035_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO035_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO035_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO036_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO036_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO036_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO036_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
BL001_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL001_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL001_D,ESPRESSO,1,도징과 수율을 고정해 블렌드의 질감을 안정적으로 표현함
BL001_D,COLD_BREW,2,저온 침지로 묵직한 단맛을 표현함
BL002_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL002_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL002_D,ESPRESSO,1,도징과 수율을 고정해 블렌드의 질감을 안정적으로 표현함
BL002_D,COLD_BREW,2,저온 침지로 묵직한 단맛을 표현함
BL003_L,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL003_L,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL003_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL003_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL004_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL004_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL004_D,ESPRESSO,1,도징과 수율을 고정해 블렌드의 질감을 안정적으로 표현함
BL004_D,COLD_BREW,2,저온 침지로 묵직한 단맛을 표현함
BL005_L,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL005_L,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL005_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL005_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL006_L,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL006_L,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL006_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL006_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL007_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL007_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL007_D,ESPRESSO,1,도징과 수율을 고정해 블렌드의 질감을 안정적으로 표현함
BL007_D,COLD_BREW,2,저온 침지로 묵직한 단맛을 표현함
BL008_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL008_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL008_D,ESPRESSO,1,도징과 수율을 고정해 블렌드의 질감을 안정적으로 표현함
BL008_D,COLD_BREW,2,저온 침지로 묵직한 단맛을 표현함
BL009_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL009_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL009_D,ESPRESSO,1,도징과 수율을 고정해 블렌드의 질감을 안정적으로 표현함
BL009_D,COLD_BREW,2,저온 침지로 묵직한 단맛을 표현함
BL010_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL010_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL010_D,ESPRESSO,1,도징과 수율을 고정해 블렌드의 질감을 안정적으로 표현함
BL010_D,COLD_BREW,2,저온 침지로 묵직한 단맛을 표현함
BL011_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL011_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL011_D,ESPRESSO,1,도징과 수율을 고정해 블렌드의 질감을 안정적으로 표현함
BL011_D,COLD_BREW,2,저온 침지로 묵직한 단맛을 표현함
BL012_L,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL012_L,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
BL012_M,POUR_OVER,1,충분한 블루밍으로 산지별 향을 고르게 표현함
BL012_M,ESPRESSO,2,중간 수율로 단맛과 산미의 균형을 맞춤
