profile_key,variety_code,display_order
SO028_L,PACAMARA,1
SO028_L,BOURBON,2
SO028_M,PACAMARA,1
SO028_M,BOURBON,2
SO029_L,CATUAI,1
SO029_L,IHCAFE90,2
SO029_M,CATUAI,1
SO029_M,IHCAFE90,2
SO030_L,LEMPIRA,1
SO030_L,CATUAI,2
SO030_M,LEMPIRA,1
SO030_M,CATUAI,2
SO031_L,GEISHA,1
SO031_M,GEISHA,1
SO032_L,GEISHA,1
SO032_L,CATUAI,2
SO032_M,GEISHA,1
SO032_M,CATUAI,2
SO033_M,TYPICA,1
SO033_M,CATIMOR,2
SO033_D,TYPICA,1
SO033_D,CATIMOR,2
SO034_M,TYPICA,1
SO034_M,CATIMOR,2
SO034_D,TYPICA,1
SO034_D,CATIMOR,2
SO035_L,ARUSHA,1
SO035_L,TYPICA,2
SO035_M,ARUSHA,1
SO035_M,TYPICA,2
SO036_M,S795,1
SO036_M,CATIMOR,2
SO036_D,S795,1
SO036_D,CATIMOR,2
BL001_M,CATUAI,1
BL001_M,CASTILLO,2
BL001_M,ETHIOPIAN_HEIRLOOM,3
BL001_D,CATUAI,1
BL001_D,CASTILLO,2
BL001_D,ETHIOPIAN_HEIRLOOM,3
BL002_M,YELLOW_BOURBON,1
BL002_M,CASTILLO,2
BL002_M,S795,3
BL002_D,YELLOW_BOURBON,1
BL002_D,CASTILLO,2
BL002_D,S795,3
BL003_L,ETHIOPIAN_HEIRLOOM,1
BL003_L,SL28,2
BL003_L,BOURBON,3
BL003_M,ETHIOPIAN_HEIRLOOM,1
BL003_M,SL28,2
BL003_M,BOURBON,3
BL004_M,MUNDO_NOVO,1
BL004_M,BOURBON,2
BL004_M,S795,3
BL004_D,MUNDO_NOVO,1
BL004_D,BOURBON,2
BL004_D,S795,3
BL005_L,CATURRA,1
BL005_L,PACAMARA,2
BL005_L,CATUAI,3
BL005_M,CATURRA,1
BL005_M,PACAMARA,2
BL005_M,CATUAI,3
BL006_L,ETHIOPIAN_HEIRLOOM,1
BL006_L,GEISHA,2
BL006_L,VILLA_SARCHI,3
BL006_M,ETHIOPIAN_HEIRLOOM,1
BL006_M,GEISHA,2
BL006_M,VILLA_SARCHI,3
BL007_M,CATUAI,1
BL007_M,LEMPIRA,2
BL007_M,TYPICA,3
BL007_D,CATUAI,1
BL007_D,LEMPIRA,2
BL007_D,TYPICA,3
BL008_M,BOURBON,1
BL008_M,ARUSHA,2
BL008_M,CATURRA,3
BL008_D,BOURBON,1
BL008_D,ARUSHA,2
BL008_D,CATURRA,3
BL009_M,CATIMOR,1
BL009_M,MUNDO_NOVO,2
BL009_M,SL14,3
BL009_D,CATIMOR,1
BL009_D,MUNDO_NOVO,2
BL009_D,SL14,3
BL010_M,BOURBON,1
BL010_M,PACAS,2
BL010_M,CASTILLO,3
BL010_D,BOURBON,1
BL010_D,PACAS,2
BL010_D,CASTILLO,3
BL011_M,CASTILLO,1
BL011_M,YELLOW_BOURBON,2
BL011_D,CASTILLO,1
BL011_D,YELLOW_BOURBON,2
BL012_L,ETHIOPIAN_HEIRLOOM,1
BL012_L,BOURBON,2
BL012_M,ETHIOPIAN_HEIRLOOM,1
BL012_M,BOURBON,2
