profile_key,flavor_note_code,display_order,intensity
BL002_M,CARAMEL,3,4
BL002_D,DARK_CHOCOLATE,1,5
BL002_D,NUTTY,2,4
BL002_D,CARAMEL,3,4
BL003_L,JASMINE,1,5
BL003_L,CITRUS,2,5
BL003_L,TEA_LIKE,3,4
BL003_M,JASMINE,1,5
BL003_M,CITRUS,2,5
BL003_M,TEA_LIKE,3,4
BL004_M,CHOCOLATE,1,5
BL004_M,HAZELNUT,2,5
BL004_M,BROWN_SUGAR,3,4
BL004_D,CHOCOLATE,1,5
BL004_D,HAZELNUT,2,5
BL004_D,BROWN_SUGAR,3,4
BL005_L,CITRUS,1,5
BL005_L,RED_APPLE,2,4
BL005_L,CARAMEL,3,4
BL005_M,CITRUS,1,5
BL005_M,RED_APPLE,2,4
BL005_M,CARAMEL,3,4
BL006_L,TROPICAL_FRUIT,1,5
BL006_L,BERRY,2,5
BL006_L,FLORAL,3,4
BL006_M,TROPICAL_FRUIT,1,5
BL006_M,BERRY,2,5
BL006_M,FLORAL,3,4
BL007_M,COCOA,1,5
BL007_M,CARAMEL,2,4
BL007_M,DRIED_FRUIT,3,3
BL007_D,COCOA,1,5
BL007_D,CARAMEL,2,4
BL007_D,DRIED_FRUIT,3,3
BL008_M,RED_APPLE,1,4
BL008_M,BROWN_SUGAR,2,5
BL008_M,CHOCOLATE,3,3
BL008_D,RED_APPLE,1,4
BL008_D,BROWN_SUGAR,2,5
BL008_D,CHOCOLATE,3,3
BL009_M,DARK_CHOCOLATE,1,5
BL009_M,SPICE,2,5
BL009_M,MOLASSES,3,4
BL009_D,DARK_CHOCOLATE,1,5
BL009_D,SPICE,2,5
BL009_D,MOLASSES,3,4
BL010_M,RED_FRUIT,1,5
BL010_M,STONE_FRUIT,2,4
BL010_M,HONEY,3,4
BL010_D,RED_FRUIT,1,5
BL010_D,STONE_FRUIT,2,4
BL010_D,HONEY,3,4
BL011_M,CARAMEL,1,5
BL011_M,MILK_CHOCOLATE,2,4
BL011_M,BROWN_SUGAR,3,4
BL011_D,CARAMEL,1,5
BL011_D,MILK_CHOCOLATE,2,4
BL011_D,BROWN_SUGAR,3,4
BL012_L,FLORAL,1,4
BL012_L,CITRUS,2,4
BL012_L,TEA_LIKE,3,4
BL012_M,FLORAL,1,4
BL012_M,CITRUS,2,4
BL012_M,TEA_LIKE,3,4
